Date,Close,High,Low,Open,Volume,Log_Return,Rolling_Weekly_Volatility,Annual_Rolling_Volatility
2016-05-07,173.5149383544922,176.71813366981468,173.19293269930267,174.20134843382942,419635000,-0.004677441637131194,0.022180269686116135,0.15994419931382256
2016-05-14,174.1334991455078,175.70119280732976,171.83702272729482,173.68437490824712,532894700,0.003558545801113067,0.021210617027554196,0.15295193455415249
2016-05-21,178.15870666503906,178.16717607316846,173.7098235526294,174.150465522451,348333700,0.022852522013796568,0.021690788197516294,0.15641449810274824
2016-05-28,178.19259643554688,178.74340536057153,176.98928103642675,178.4298691660554,344617400,0.00019020427491129192,0.021690843289078714,0.15641489537365452
2016-06-04,178.01466369628906,180.09080673238248,177.4723112022157,178.5485209207504,379648800,-0.0009990405809879046,0.02025455185198567,0.14605765052775685
2016-06-11,175.0064239501953,178.26893177528564,174.21832904651842,177.4130557187584,618523800,-0.017043245678632208,0.020483253514780326,0.1477068416717369
2016-06-18,173.12249755859375,179.6218226144648,172.67955111125858,177.8756161733549,686987600,-0.01082325923467513,0.019526852078854698,0.1408101328374224
2016-06-25,178.81260681152344,179.298146523958,169.21266940530316,171.7170020328073,798564000,0.032338945846338715,0.02043525998116341,0.14736075537904392
2016-07-02,181.1380157470703,181.38504877732947,176.37638455148326,177.98631048155755,425390000,0.012920890488061236,0.016159532990695648,0.1165280495710102
2016-07-09,183.8468475341797,184.85198088781613,181.3936213186576,181.59806116916383,460619900,0.014843802019031472,0.015377700551494951,0.11089017567429182
2016-07-16,185.0479431152344,185.15867001609803,183.67652305527125,183.9661364846695,301795900,0.00651188282312436,0.015279336770308731,0.11018086436086094
2016-07-23,184.94569396972656,185.3034539852409,183.66797405818707,184.8434805360479,354592600,-0.0005527076028462912,0.015146404619696487,0.10922227699048065
2016-07-30,185.84857177734372,185.8911650309218,182.5009526078137,185.0052851456244,338078200,0.004869976024224611,0.013358807381814683,0.09633172998835936
2016-08-06,186.08714294433597,186.49600969714265,185.03940320616164,186.03602322730035,282917100,0.0012828625499948186,0.013127908483370544,0.09466669435278237
2016-08-13,186.15524291992188,186.9729892753485,184.86049627048263,186.4533827260218,306593700,0.000365890500016833,0.012385903024945341,0.08931601689872991
2016-08-20,185.09051513671875,187.05821487233789,184.20463498108924,185.9167751172544,378228000,-0.005735988516300024,0.012375030565142355,0.08923761447610974
2016-08-27,186.0104217529297,186.4363283012472,184.01718222623663,185.21824181192463,391024300,0.004957726639674471,0.011498678758557472,0.08291815172813514
2016-09-03,181.6747283935547,186.73450116350972,181.64917503593983,186.2915546354549,428949000,-0.023584821584446518,0.012554394358504105,0.09053102518396478
2016-09-10,181.75140380859372,184.6816437070724,180.84848376961503,180.91663039488665,774789500,0.000421958738696651,0.012506464112121293,0.09018539526200707
2016-09-17,184.91246032714844,186.23087293969465,182.37835175672487,183.32008438232265,410509800,0.017242685441502086,0.012835259215690162,0.09255637047208516
2016-09-24,185.1779327392578,185.87994121543213,182.8835345790794,184.08210507159825,501006600,0.0014346357679931186,0.012425975362016976,0.08960498263080882
2016-10-01,184.0991973876953,185.1779120165763,183.20028594802085,184.76697995301413,428991900,-0.005842432861491146,0.012214173596074362,0.08807765837612899
2016-10-08,182.45545959472656,185.52035680944297,180.82028776696453,185.058059861917,450791700,-0.008968642354921617,0.012081139937257493,0.08711833901967539
2016-10-15,183.1916961669922,183.75673585646012,181.6421283128125,182.42975345724057,364393500,0.004027038392771612,0.01206142906744067,0.08697620191605827
2016-10-22,181.95887756347656,184.338891913528,181.24831282341424,184.06492854020397,420237800,-0.0067524105199625465,0.011838891630981837,0.08537146164033302
2016-10-29,178.5430145263672,182.5153926913425,178.39747635756683,182.2927941457579,485446500,-0.018951164165424368,0.012479715350398938,0.08999250719811683
2016-11-05,185.28062438964844,186.8986831179216,178.54299560491063,178.54299560491063,747662000,0.03704201442965061,0.014283150235131417,0.10299726109584371
2016-11-12,187.06137084960935,187.72058391490276,184.68136909850864,185.8028791173653,407913300,0.009565185017145164,0.014348989218139705,0.10347203275416529
2016-11-19,189.6468048095703,189.68104369898276,187.48938900440052,187.63492714516505,234324100,0.013726670791005681,0.013943587001269455,0.10054863579394037
2016-11-26,188.07159423828125,189.90369538560293,187.61785371256204,189.33865557736144,413631800,-0.008340709413127138,0.01409727517788224,0.10165689699636028
2016-12-03,193.91883850097656,193.93596447940917,188.70509497990068,188.9019980103461,426173500,0.030617002532066402,0.015146037603708223,0.10921963040055145
2016-12-10,192.6603240966797,195.4855092923765,192.34356538125928,193.82464228979688,636388200,-0.006511053735746279,0.014715145060454491,0.10611242008271862
2016-12-17,194.37289428710935,195.11349418410296,193.69256890134716,193.9767539578983,341005800,0.00884979007625206,0.014441937808484073,0.10414229457110272
2016-12-24,192.49554443359372,195.25126025742784,191.80661219256285,194.63984258447644,264461900,-0.009705441964762617,0.01351900644408377,0.09748694185494425
2016-12-31,195.6645965576172,196.1296181911408,192.7969259200736,193.7958637143628,320049800,0.016328943669885788,0.013636710052162713,0.09833571464341574
2017-01-07,195.52687072753903,195.8713303348436,193.72704496983312,195.4063085509533,320192700,-0.0007041351731131263,0.013434460961282544,0.09687727570824689
2017-01-14,195.2599029541016,195.7507585273752,194.1145557627417,194.889596411191,311811500,-0.0013663093684241996,0.013426125127337544,0.09681716515482199
2017-01-21,197.1802978515625,197.8175625708531,193.99400053569252,195.2599099430171,374736400,0.009787020913609725,0.013498392589112491,0.0973382932327764
2017-01-28,197.49888610839844,197.67973590662965,194.89818637968196,196.4913281647107,384956600,0.0016144166653798168,0.01349027584905575,0.09727976258784803
2017-02-04,199.36767578125,199.59158638503845,196.6119590985333,197.094207875472,299258600,0.009417792603116896,0.013558975581158447,0.09777516340126184
2017-02-11,202.4505920410156,202.51087969449333,199.8326650761705,199.85849888757792,375003400,0.015345129884387161,0.013774503456095499,0.09932935701001651
2017-02-18,203.87152099609372,204.0092969459536,202.7261738222612,202.82090217920344,308058800,0.006994129543437043,0.01366899291811804,0.09856850970045747
2017-02-25,205.31829833984372,206.954514469308,203.2515142334912,203.7854306139021,454855800,0.007071453414893619,0.01368294531004804,0.09866912182949543
2017-03-04,204.6896209716797,205.05991436611035,203.0103575103146,204.52599807077647,371339600,-0.0030666620386987364,0.012588360343905834,0.09077595738793996
2017-03-11,204.1212615966797,206.19666551388775,203.39788855061025,204.62934410711244,380565500,-0.0027805509364951173,0.012646284592320494,0.0911936550834435
2017-03-18,202.2675323486328,205.510939704862,201.48911986212116,205.00929111673688,494830700,-0.009122998137078576,0.012637735781033244,0.09113200872856261
2017-03-25,203.89352416992188,204.56815170981005,200.3214480234316,200.5982118666765,373359800,0.008006678541062658,0.01266150882368981,0.09130343857710668
2017-04-01,203.4264678955078,205.32061954141895,202.3107417849133,203.94541825238556,394361400,-0.0022933147805709424,0.012573305725460258,0.09066739699046382
2017-04-08,201.099853515625,204.34326011534185,201.099853515625,203.56484781039188,330405400,-0.011503034099097805,0.012685895758698886,0.09147929526635995
2017-04-15,202.89889526367188,203.9886884921032,201.4199090214541,201.6188342943196,423293100,0.008906233721182629,0.012726303311965875,0.0917706782768003
2017-04-22,205.91737365722656,207.17148807715543,202.87289268665884,205.13894825359745,401553800,0.014767187492698876,0.012703539940636053,0.0916065292717361
2017-04-29,207.3185577392578,207.33585960395547,205.58874079825867,206.4363474040606,320859900,0.006781547031777223,0.011749089240250987,0.08472388739145435
2017-05-06,206.69586181640625,207.74240707122985,205.960697395418,207.3618451603849,270313700,-0.0030080903610267477,0.009973211648474369,0.07191785195925815
2017-05-13,206.11639404296875,208.1575791410688,203.62545271716263,207.11969132113617,507393900,-0.0028074173952282446,0.01000244581350834,0.07212866252130887
2017-05-20,209.0570831298828,209.3770951187248,206.55749756923092,206.62667864995967,266981600,0.014166310844169024,0.010020375159375925,0.07225795287303108
2017-05-27,211.18467712402344,211.34036749477767,208.13155160473585,208.73698482999248,284626000,0.010125658007693607,0.009780850142441217,0.07053071341240215
2017-06-03,210.5273895263672,211.91123526293748,209.2646172592581,211.01173619403963,347425600,-0.0031172365311930295,0.008296874783595783,0.059829614916717566
2017-06-10,209.8614196777344,211.7901621374848,208.98786675321875,210.28522963777385,375795400,-0.0031683545858579958,0.008165875798893878,0.05888496780396468
2017-06-17,211.3106842041016,212.70127834439464,210.6849121993344,211.71047488048248,289142700,0.006882080902965535,0.008121275351227425,0.058563349402024595
2017-06-24,210.1547393798828,212.39708679742543,208.55555019059824,211.97989663010492,402761200,-0.005485373926308803,0.00789167715132481,0.05690769323701838
2017-07-01,210.4241943359375,211.5279885830239,208.8858368865764,211.0934253807492,216954500,0.0012813527798049005,0.0074427373808256874,0.05367034251275914
2017-07-08,213.42266845703125,213.77901345016744,209.32909069702688,210.42418514467184,246362600,0.014149092079687476,0.007727828899671428,0.055726166691555584
2017-07-15,214.56988525390625,215.0392075771069,212.64911047415063,213.3444141019189,256784700,0.005360932261424347,0.007675406049187856,0.05534814014070658
2017-07-22,214.59600830078125,215.5433529190815,213.5269732519084,214.49170411197852,269968300,0.00012173869032745582,0.007598805003351847,0.054795762143674785
2017-07-29,215.0305633544922,215.3608223646905,214.12666448218363,214.9957908722716,269148100,0.002022943786883768,0.007595697975410459,0.05477335704656084
2017-08-05,212.17108154296875,216.33420342525565,211.8060501340978,215.1000458252216,351696400,-0.013387235519583953,0.008153720462641564,0.05879731442770823
2017-08-12,210.94566345214844,215.16961806781893,210.5024005235471,213.44873833645323,450488500,-0.005792356513990685,0.007859201785761777,0.056673510045564465
2017-08-19,212.5534820556641,213.4747536221459,210.18077145835352,210.884761494559,294001200,0.007593055832078933,0.007876561240033145,0.056798690850543454
2017-08-26,215.4042816162109,215.8301583221608,211.13686785250303,213.0837157430814,319543000,0.013323005077062501,0.008141116582562068,0.058706426555915396
2017-09-02,214.3091583251953,215.126139144992,212.8924782541941,214.90015782609493,271183200,-0.005097004469099483,0.008199635650507471,0.059128413556054416
2017-09-09,216.5775909423828,217.55970793293187,215.56071473404955,215.57808771203403,378367500,0.01052923339341669,0.008319017293150746,0.059989286823853315
2017-09-16,217.8707733154297,218.5258530074889,217.41658099719876,218.0192564463141,252342800,0.005953233105427909,0.008012305724331406,0.05777755824754105
2017-09-23,219.43423461914065,219.5128543148782,216.6829051143643,217.6174785885475,322504600,0.007150469063386622,0.007992032202676433,0.05763136380381857
2017-09-30,222.1768035888672,222.465040226087,219.4866083024446,219.6613068663082,325955600,0.012420904336089429,0.008134780125019529,0.05866073371076654
2017-10-07,222.68341064453125,222.96291769784077,221.54793656381375,222.40391691885165,228400300,0.0022776020801852097,0.007553718218815966,0.054470636716694956
2017-10-14,224.57003784179688,224.59626661827303,222.15936272418543,222.91052129683493,261751200,0.008436551551511594,0.007541871825963016,0.054385211162973755
2017-10-21,225.0941162109375,225.2513555999806,221.85366269566697,224.89324215841523,389927000,0.002330977916356778,0.007212460784730385,0.052009794363237286
2017-10-28,225.74050903320312,225.78417035762652,223.7665267123839,224.01108877073855,284832400,0.002867540463844466,0.007180370427437942,0.05177838750590556
2017-11-04,225.42596435546875,226.52650649403915,223.9149046457852,225.6093791601457,312694600,-0.0013943621578728748,0.007130697238445825,0.05142018904605178
2017-11-11,225.2251434326172,226.25582251458425,223.2773900026253,224.7447622699925,335889100,-0.0008912479418071459,0.007074339047669641,0.05101378435277995
2017-11-18,227.4086761474609,227.51351126899064,225.22507758257012,225.4696662108836,190142200,0.009648194892609993,0.006851535234612535,0.04940712320808737
2017-11-25,230.98980712890625,232.37857276186364,227.09427434779724,227.4523877482844,521044000,0.015624850293799926,0.007151053626128544,0.051566981045198315
2017-12-02,231.90695190429688,233.0336697730841,229.4613050819856,232.60569290766543,401716200,0.003962637273276898,0.0070247502088261315,0.05065619415049796
2017-12-09,232.7803649902344,233.69746578467547,231.80211703476184,232.60566643164677,516455700,0.003759147636328214,0.006882975999651839,0.04963384578906543
2017-12-16,234.84815979003903,235.805072147658,234.12827192013896,235.36612005013504,388541200,0.008843807285347725,0.006926601339327855,0.04994843258728825
2017-12-23,234.2774353027344,235.7610951219704,234.08432215352252,234.44423919660133,244118900,-0.0024331427440359046,0.006782689477287784,0.048910669391822294
2017-12-30,240.03659057617188,240.1594832389474,234.75158987206237,235.1378698833764,340886500,0.02428533843899939,0.007811845308501951,0.05633201763159318
2018-01-06,243.98712158203125,244.1538987144319,239.59760104026083,239.9399697109352,337325100,0.01632407104367195,0.007923865767190319,0.05713980864699699
2018-01-13,246.1731109619141,246.1731109619141,242.45956668636015,245.2425346871621,461462000,0.008919548047889971,0.007958354936573145,0.05738851358431287
2018-01-20,251.5898895263672,251.6338008314632,245.9098456690768,245.9625445934965,515553600,0.02176534775984003,0.008509590496871982,0.06136352973934603
2018-01-27,241.8186798095703,251.45804907302977,241.78355614616368,251.01909705071543,593556800,-0.03961215096834772,0.012358079813322287,0.0891153808664199
2018-02-03,229.5719451904297,242.1698756480917,222.0395256489663,240.06291095493276,1347099500,-0.051971721295678654,0.016286321174374882,0.11744233216576706
2018-02-10,239.76443481445312,241.7046226421496,229.71244647402807,231.6174838359572,617315700,0.04344045268532764,0.01799209442470206,0.12974283800250608
2018-02-17,241.1690826416016,241.17787025788172,236.71812820417748,238.81630554863565,388531100,0.005841355489740424,0.01798498325468497,0.12969155862625575
2018-02-24,236.22645568847656,244.86505678831173,232.48660193015064,242.24010495273853,623436700,-0.020707372271385086,0.018572961737637464,0.13393153176456526
2018-03-03,244.8211212158203,244.8211212158203,234.9359121076731,235.0412831084708,444110600,0.035736923446558454,0.01951517333211879,0.14072591619704347
2018-03-10,240.7212829589844,246.17305919414383,240.66861086330192,245.11080287587683,453565500,-0.01688806441169931,0.01994713822401291,0.14384085933089247
2018-03-17,227.4504547119141,241.8616792757795,227.2565412065732,240.936198895039,579996000,-0.056707328793920174,0.02322576981919668,0.16748340799047523
2018-03-24,231.94577026367188,235.13650777186683,227.9176726253968,231.0467311493876,529951400,0.01957116229222132,0.02346978003150291,0.16924299065488915
2018-03-31,228.92247009277344,235.0219101031943,224.4712951075937,231.41687758317653,692132300,-0.01312020779578787,0.02355629827302503,0.1698668825670311
2018-04-07,233.70851135253903,235.81511809760715,229.1163206108673,230.37674477528324,454081800,0.020691273191853612,0.023866306498475126,0.17210238367238295
2018-04-14,234.99546813964844,239.12933176010156,234.1140477838813,235.3392349898286,363000200,0.005491568570707057,0.023840813813913096,0.1719185533097077
2018-04-21,234.95132446289065,236.20295275917292,229.9184235500389,235.56832925238848,407069900,-0.0001878667014329318,0.023843456402176652,0.17193760928467608
2018-04-28,234.47540283203125,236.12368127773615,228.3319026761835,235.5683822220851,470288200,-0.002027672334137256,0.02385277039351052,0.17200477343134307
2018-05-05,240.4955291748047,240.75994449971637,233.708582248075,235.24227182899932,314405600,0.02535080925276743,0.02429729921423106,0.17521031634440196
2018-05-12,239.1557159423828,241.57962133946057,238.00988051419657,240.92737904022917,316673700,-0.005586628746353483,0.024340837238131068,0.17552427349960967
2018-05-19,239.8784942626953,241.72948200236584,238.67095293170715,240.6365295974672,308105100,0.0030176503197303904,0.024295552169440904,0.17519771822525906
2018-05-26,241.15655517578125,241.45623479489305,236.00906479688103,238.2566753896234,350365300,0.0053138078895199475,0.024148871261267073,0.17413998715415432
2018-06-02,245.2023468017578,245.28167141105607,241.6678423386209,241.97634486288052,304361500,0.01663744585973345,0.024324578124025328,0.17540702736040595
2018-06-09,244.2679901123047,246.33933301110105,242.69906319511628,245.42264844973383,407431300,-0.00381783227258827,0.024349830582526537,0.1755891254283212
2018-06-16,243.24876403808597,245.0018223562262,242.177464131242,243.9127975953156,330194500,-0.004181302695727096,0.024334226991731937,0.17547660633493864
2018-06-23,240.18533325195312,242.4784589388332,237.71512116424577,242.09775289860485,485755300,-0.012673792802367228,0.024480377443433607,0.17653051223002383
2018-06-30,243.8508453369141,244.22268900358912,238.37918820805464,238.6182575847979,229161500,0.015145901561504386,0.024195982245269834,0.17447970929107337
2018-07-07,247.5428924560547,247.8439178074918,244.80707700779504,244.8513351108068,287912600,0.015027121069561115,0.024163597526843106,0.17424617976541532
2018-07-14,247.62255859375,248.9506258406668,246.49813805174887,247.5871629212756,288859800,0.00032177583558703425,0.02410332519596446,0.1738115498064659
2018-07-21,249.16311645507807,251.7749656348036,247.07361009170245,247.4189205196432,328645600,0.006202122472525875,0.0237374854213104,0.1711734416742271
2018-07-28,251.09326171875,251.14638224892715,247.1621803680501,249.24282453198333,303528100,0.00771666259829694,0.022384157590897513,0.16141445590409492
2018-08-04,250.7037353515625,253.2270690381192,249.99541646397316,251.1287266841161,237505100,-0.0015525260123217621,0.019579450467941278,0.14118942521513936
2018-08-11,252.3858795166016,252.82856856746483,248.04753222206057,250.9781315772078,348086700,0.006687279498801731,0.017819666162320353,0.12849944011979328
2018-08-18,254.55502319335935,254.69668690778963,252.385836406808,252.83738780783,258765100,0.008557829535989044,0.017851188925715845,0.12872675399932682
